City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,nushki,29.5542,66.0215,61.47,15,0,2.17,PK,1635271456
142,umea,63.8284,20.2597,37.33,100,90,2.3,SE,1635271458
143,tambopata,-12.7333,-69.1833,78.69,65,75,2.3,PE,1635271460
144,kahului,20.8947,-156.47,80.83,69,20,0.0,US,1635271463
145,half moon bay,37.4636,-122.4286,63.66,77,75,1.01,US,1635271465
146,belaya gora,68.5333,146.4167,-8.54,100,91,2.24,RU,1635271467
147,san quintin,30.4833,-115.95,66.2,53,0,20.15,MX,1635271470
148,pangkalanbuun,-2.6833,111.6167,75.24,94,100,0.74,ID,1635271218
149,avera,33.194,-82.5271,71.47,42,0,8.52,US,1635271476
150,usinsk,65.9939,57.5281,16.48,96,86,10.65,RU,1635271479
151,gander,48.9682,-54.5906,39.33,80,75,18.01,CA,1635271224
152,gamba,-2.65,10.0,76.73,88,97,7.2,GA,1635271485
153,albany,42.6001,-73.9662,55.58,94,100,1.01,US,1635271212
154,ariquemes,-9.9133,-63.0408,85.19,68,92,1.3,BR,1635271224
155,seoul,37.5683,126.9778,62.04,71,63,3.56,KR,1635271492
156,chokurdakh,70.6333,147.9167,-19.93,100,42,3.76,RU,1635271494
157,sitka,57.0531,-135.33,48.09,66,90,8.05,US,1635271496
158,barrow,71.2906,-156.7887,24.82,86,90,8.05,US,1635271499
159,brae,60.3964,-1.353,53.51,96,100,24.65,GB,1635271501
160,saint-joseph,-21.3667,55.6167,71.98,79,36,11.39,RE,1635271503
161,dunedin,-45.8742,170.5036,53.44,97,100,5.5,NZ,1635271473
162,norman wells,65.282,-126.8329,26.78,93,100,1.3,CA,1635271508
163,mahebourg,-20.4081,57.7,74.25,72,25,15.9,MU,1635271511
164,castro,-24.7911,-50.0119,74.91,45,75,2.55,BR,1635271275
165,mufulira,-12.5498,28.2407,76.06,30,91,3.76,ZM,1635271515
166,phanat nikhom,13.4458,101.1844,84.85,81,100,4.79,TH,1635271517
167,new norfolk,-42.7826,147.0587,44.71,77,71,2.46,AU,1635271520
168,chifeng,42.2683,118.9636,39.99,41,0,5.88,CN,1635271523
169,sinnamary,5.3833,-52.95,82.15,82,79,9.8,GF,1635271525
170,cape coast,5.1053,-1.2466,78.44,85,99,10.25,GH,1635271527
171,ilorin,8.5,4.55,82.47,64,69,6.02,NG,1635271530
172,bonthe,7.5264,-12.505,79.3,79,89,6.24,SL,1635271534
173,tarakan,3.3,117.6333,79.47,81,93,1.3,ID,1635271536
174,westport,41.1415,-73.3579,64.36,95,90,1.01,US,1635271251
175,pokhara,28.2333,83.9833,59.99,63,0,6.91,NP,1635271541
176,coolum beach,-26.5333,153.1,69.12,99,34,2.71,AU,1635271543
177,resistencia,-27.4606,-58.9839,94.08,41,0,7.94,AR,1635271452
178,severo-kurilsk,50.6789,156.125,43.86,85,78,5.68,RU,1635271554
179,porecatu,-22.7558,-51.3792,86.07,52,63,3.04,BR,1635271556
180,warrnambool,-38.3833,142.4833,51.82,69,15,12.01,AU,1635271559
181,kuminskiy,58.6667,66.5667,26.44,80,9,7.18,RU,1635271561
182,samarai,-10.6167,150.6667,80.53,81,91,9.8,PG,1635271564
183,waddan,29.1614,16.139,73.13,33,0,7.43,LY,1635271566
184,qandala,11.472,49.8728,81.0,62,9,4.97,SO,1635271568
185,doha,25.2867,51.5333,84.18,40,0,6.91,QA,1635271571
186,bilma,18.6853,12.9164,87.51,12,0,7.78,NE,1635271573
187,torbay,47.6666,-52.7314,44.58,74,20,3.0,CA,1635271575
188,henties bay,-22.116,14.2845,60.85,84,58,7.45,NA,1635271577
189,turt,47.9833,23.2167,44.92,50,27,1.97,RO,1635271580
190,cayenne,4.9333,-52.3333,87.84,82,75,7.0,GF,1635271583
191,sitio novo do tocantins,-5.5183,-47.4611,91.06,48,70,5.55,BR,1635271585
192,rawson,-43.3002,-65.1023,74.55,23,98,29.12,AR,1635271587
193,mtambile,-5.3833,39.7,79.0,79,84,13.4,TZ,1635271590
194,high level,58.5169,-117.136,40.23,81,47,5.03,CA,1635271592
195,poronaysk,49.2167,143.1167,38.07,78,0,3.11,RU,1635271597
196,lincoln,40.8,-96.667,55.78,67,90,16.11,US,1635271557
197,rio gallegos,-51.6226,-69.2181,60.85,25,40,42.57,AR,1635271601
198,thompson,55.7435,-97.8558,37.56,81,90,8.05,CA,1635271603
199,bayshore gardens,27.4253,-82.5904,87.98,71,40,11.5,US,1635271606
200,lipin bor,60.2622,37.9763,38.73,92,100,11.83,RU,1635271608
201,udachnyy,66.4167,112.4,8.6,95,78,10.18,RU,1635271610
202,kolondieba,11.0882,-6.8926,85.08,54,67,1.54,ML,1635271613
203,tual,-5.6667,132.75,83.44,75,53,8.48,ID,1635271615
204,sao joao da barra,-21.6403,-41.0511,80.69,94,100,5.23,BR,1635271617
205,grand gaube,-20.0064,57.6608,74.37,68,7,7.0,MU,1635271620
206,pamulang,-6.3428,106.7383,81.95,79,83,2.57,ID,1635271622
207,saint-francois,46.4154,3.9054,49.44,88,0,2.3,FR,1635271624
208,cidreira,-30.1811,-50.2056,76.89,52,0,9.62,BR,1635271627
209,ulladulla,-35.35,150.4667,54.88,91,37,3.51,AU,1635271629
210,alyangula,-13.8483,136.4192,80.55,82,4,5.28,AU,1635271631
211,praia da vitoria,38.7333,-27.0667,71.76,91,52,22.39,PT,1635271501
212,pincher creek,49.4833,-113.952,48.27,46,73,26.78,CA,1635271636
213,almaznyy,48.0448,40.045,35.74,45,47,3.94,RU,1635271638
214,chuy,-33.6971,-53.4616,83.01,44,0,11.97,UY,1635271641
215,porto santo,33.072,-16.3415,72.3,68,40,12.66,PT,1635271494
216,carnarvon,-24.8667,113.6333,64.47,55,75,8.05,AU,1635271647
217,tecoanapa,16.5167,-98.75,84.31,72,44,7.4,MX,1635271649
218,bathsheba,13.2167,-59.5167,86.61,66,20,17.27,BB,1635271652
219,alofi,-19.0595,-169.9187,76.12,72,42,18.79,NU,1635271654
220,wadi musa,30.3222,35.4793,59.9,55,0,3.56,JO,1635271657
221,torata,-17.0769,-70.8433,70.0,20,2,12.84,PE,1635271659
222,ahuimanu,21.4447,-157.8378,78.78,68,20,6.91,US,1635271661
223,fort wellington,6.4,-57.6,81.63,81,100,6.78,GY,1635271663
224,ponta delgada,37.7333,-25.6667,72.32,78,20,14.97,PT,1635271666
225,san cristobal,7.7669,-72.225,82.58,52,98,7.14,VE,1635271668
226,richards bay,-28.783,32.0377,67.33,92,99,3.71,ZA,1635271670
227,port alfred,-33.5906,26.891,66.24,83,95,28.21,ZA,1635271673
228,vanimo,-2.6741,141.3028,77.86,89,85,4.59,PG,1635271675
229,marathon,44.9,-89.7668,51.33,61,1,6.91,US,1635271677
230,bosaso,11.2842,49.1816,80.58,62,4,4.0,SO,1635271408
231,dudinka,69.4058,86.1778,10.96,96,87,5.68,RU,1635271682
232,la rioja,42.25,-2.5,54.48,73,29,3.53,ES,1635271684
233,guskhara,23.5,87.75,74.5,76,24,5.48,IN,1635271687
234,cabedelo,-6.9811,-34.8339,83.07,62,11,15.7,BR,1635271691
235,narsaq,60.9167,-46.05,46.62,61,39,4.74,GL,1635271693
236,coihaique,-45.5752,-72.0662,59.61,55,75,12.66,CL,1635271413
237,la rochelle,46.1667,-1.15,56.28,84,84,2.68,FR,1635271697
238,savannah bight,16.45,-85.85,84.24,71,75,14.56,HN,1635271700
239,deniliquin,-35.5333,144.9667,48.0,45,40,6.55,AU,1635271702
240,tiebissou,7.1574,-5.2257,78.8,80,64,1.79,CI,1635271704
241,nyuksenitsa,60.4128,44.2397,35.24,98,100,7.87,RU,1635271707
242,yulara,-25.2406,130.9889,73.24,53,52,0.0,AU,1635271709
243,upernavik,72.7868,-56.1549,15.35,48,92,4.68,GL,1635271711
244,vila franca do campo,37.7167,-25.4333,72.01,80,25,12.53,PT,1635271714
245,saint-augustin,51.226,-58.6502,47.57,46,3,5.03,CA,1635271716
246,necochea,-38.5473,-58.7368,70.9,51,7,12.71,AR,1635271718
247,nawa,27.0167,75.0,71.44,37,0,6.58,IN,1635271695
248,faanui,-16.4833,-151.75,77.86,78,91,11.65,PF,1635271723
249,enid,36.3956,-97.8784,77.02,79,90,14.0,US,1635271510
250,camacha,33.0833,-16.3333,69.53,68,40,12.66,PT,1635271727
251,airai,-8.9266,125.4092,62.78,84,36,0.96,TL,1635271730
252,kingsport,36.5484,-82.5618,56.32,72,75,3.0,US,1635271531
253,labuhan,-6.8844,112.2051,79.77,80,100,7.05,ID,1635271734
254,springfield,37.2153,-93.2982,62.35,74,90,10.0,US,1635271513
255,atar,20.5169,-13.0499,94.96,19,86,10.63,MR,1635271738
256,kismayo,-0.3582,42.5454,79.61,83,45,13.96,SO,1635271741
257,sola,-13.8833,167.55,80.31,79,53,8.61,VU,1635271743
258,san patricio,28.017,-97.5169,87.89,57,99,16.15,US,1635271746
259,ontario,34.0633,-117.6509,65.43,71,20,1.99,US,1635271466
260,medeiros neto,-17.3739,-40.2206,84.61,56,75,10.6,BR,1635271750
261,kupang,-10.1667,123.5833,79.61,74,52,4.32,ID,1635271752
262,trapani,37.8333,12.6667,67.35,86,13,8.12,IT,1635271755
263,minot,48.2325,-101.2963,48.42,87,90,11.5,US,1635271592
264,cedar city,37.6775,-113.0619,41.4,80,90,3.44,US,1635271759
265,skjervoy,70.0311,20.9714,33.98,71,20,22.66,NO,1635271762
266,baruun-urt,46.6806,113.2792,34.39,51,0,10.87,MN,1635271764
267,ostrovnoy,68.0531,39.5131,28.2,81,100,7.96,RU,1635271766
268,guerrero negro,27.9769,-114.0611,69.33,57,67,23.26,MX,1635271769
269,bayji,34.9311,43.487,72.91,24,23,6.04,IQ,1635271771
270,asau,46.4333,26.4,43.72,56,0,4.68,RO,1635271773
271,killybegs,54.6333,-8.45,58.71,87,100,24.29,IE,1635271776
272,magugu,-4.0167,35.7667,82.2,36,99,9.93,TZ,1635271778
273,prince rupert,54.3161,-130.3201,46.74,81,100,9.71,CA,1635271623
274,yantarnyy,54.8717,19.9381,48.06,92,100,22.1,RU,1635271782
275,jalu,29.0331,21.5482,79.97,24,2,12.15,LY,1635271785
276,fort nelson,58.8053,-122.7002,36.46,83,89,2.1,CA,1635271787
277,walvis bay,-22.9575,14.5053,61.09,82,38,6.46,NA,1635271789
278,tateyama,34.9833,139.8667,60.82,69,99,6.44,JP,1635271792
279,muhos,64.808,25.9931,39.7,95,100,6.46,FI,1635271794
280,shubarkuduk,49.1447,56.4872,34.59,48,35,5.75,KZ,1635271796
281,kumluca,36.3703,30.2869,67.24,64,11,4.09,TR,1635271799
282,nuuk,64.1835,-51.7216,32.61,55,1,12.66,GL,1635271513
283,sao filipe,14.8961,-24.4956,80.42,75,89,10.36,CV,1635271807
284,ouro preto do oeste,-10.7481,-62.2158,76.69,79,100,2.71,BR,1635271810
285,pafos,34.7667,32.4167,67.78,73,0,3.44,CY,1635271812
286,aksha,50.2814,113.2867,34.72,65,3,4.97,RU,1635271815
287,ahipara,-35.1667,173.1667,60.96,94,97,5.41,NZ,1635271817
288,calama,-22.4667,-68.9333,72.09,13,0,25.32,CL,1635271821
289,bima,-8.4667,118.7167,78.85,89,100,2.55,ID,1635271824
290,alta floresta,-9.8756,-56.0861,87.53,52,70,1.99,BR,1635271826
291,lasa,46.6166,10.7002,45.34,84,34,5.12,IT,1635271828
292,cabo san lucas,22.8909,-109.9124,87.62,62,2,10.49,MX,1635271781
293,pisco,-13.7,-76.2167,69.85,60,0,16.11,PE,1635271833
294,kruisfontein,-34.0033,24.7314,65.88,84,99,19.04,ZA,1635271835
295,surovatikha,55.7652,43.8984,37.87,69,95,11.88,RU,1635271837
296,bandarbeyla,9.4942,50.8122,78.55,77,3,7.9,SO,1635271842
297,mulchen,-37.7167,-72.2333,76.86,28,0,9.46,CL,1635271844
298,clermont,49.5,2.4167,57.04,83,96,7.85,FR,1635271847
299,chulman,56.8479,124.9104,23.67,98,100,1.48,RU,1635271849
300,tucurui,-3.7661,-49.6725,88.45,59,57,4.94,BR,1635271851
301,chapais,49.7834,-74.8492,44.8,46,100,8.86,CA,1635271854
302,imphal,24.8167,93.95,62.37,96,4,2.84,IN,1635271856
303,najran,17.4924,44.1277,68.36,13,5,2.04,SA,1635271859
304,petit goave,18.4314,-72.8669,91.58,62,51,1.45,HT,1635271861
305,coquimbo,-29.9533,-71.3436,62.33,72,75,13.8,CL,1635271844
306,kavieng,-2.5744,150.7967,81.43,74,83,3.13,PG,1635271866
307,auray,47.6703,-2.9918,59.76,92,100,8.79,FR,1635271868
308,aykhal,66.0,111.5,0.46,100,89,5.79,RU,1635271872
309,pacific grove,36.6177,-121.9166,62.71,74,1,1.99,US,1635271875
310,shihezi,44.3,86.0333,45.1,36,0,2.68,CN,1635271877
311,talnakh,69.4865,88.3972,14.5,95,98,6.26,RU,1635271880
312,havelock,34.8791,-76.9013,72.05,66,20,10.0,US,1635271882
313,te anau,-45.4167,167.7167,49.8,95,96,1.01,NZ,1635271884
314,nouakchott,18.0858,-15.9785,82.33,62,58,24.02,MR,1635271887
315,maksatikha,57.797,35.8825,36.43,88,100,7.29,RU,1635271891
316,pangnirtung,66.1451,-65.7125,26.83,79,86,5.61,CA,1635271894
317,puri,19.8,85.85,77.52,80,9,11.1,IN,1635271896
318,finspang,58.7058,15.7674,47.93,83,8,10.0,SE,1635271899
319,de-kastri,51.4667,140.7833,35.64,88,57,4.27,RU,1635271901
320,cozumel,20.5083,-86.9458,87.12,80,87,5.5,MX,1635271904
321,itoman,26.1247,127.6694,71.62,64,20,8.05,JP,1635271906
322,high prairie,55.4334,-116.4858,45.66,54,72,5.08,CA,1635271908
323,kanigiri,15.4,79.5167,76.84,67,68,3.67,IN,1635271913
324,loja,-3.9931,-79.2042,70.02,60,100,3.69,EC,1635271627
325,champerico,14.3,-91.9167,93.74,73,13,6.69,GT,1635271917
326,los llanos de aridane,28.6585,-17.9182,69.55,71,40,7.0,ES,1635271919
327,sorland,67.667,12.6934,42.87,88,74,5.08,NO,1635271922
328,teya,60.3778,92.6267,41.49,78,100,14.5,RU,1635271924
329,port blair,11.6667,92.75,80.69,82,73,6.8,IN,1635271929
330,bad schwartau,53.9189,10.6969,54.39,87,20,4.61,DE,1635271931
331,klaksvik,62.2266,-6.589,52.72,96,100,27.76,FO,1635271898
332,el seibo,18.7641,-69.0375,89.13,52,6,8.97,DO,1635271936
333,leningradskiy,69.3833,178.4167,8.83,94,100,22.64,RU,1635271938
334,port angeles,48.1181,-123.4307,54.19,92,40,0.0,US,1635271941
335,khuzdar,27.7384,66.6434,64.98,29,1,4.97,PK,1635271943
336,clyde river,70.4692,-68.5914,23.43,82,100,4.65,CA,1635271945
337,beberibe,-4.1797,-38.1306,89.17,62,1,14.92,BR,1635271770
338,nhulunbuy,-12.2333,136.7667,79.41,83,25,0.0,AU,1635271952
339,igrim,63.1906,64.4162,26.06,59,48,11.18,RU,1635271955
340,astana,51.1801,71.446,28.35,69,40,6.71,KZ,1635271957
341,fortuna,40.5982,-124.1573,57.65,71,90,1.99,US,1635271959
342,yar-sale,66.8333,70.8333,15.53,91,51,5.75,RU,1635271962
343,eslov,55.8393,13.3039,50.25,92,74,6.91,SE,1635271964
344,bitung,1.4451,125.1824,76.05,81,52,1.19,ID,1635271688
345,aasiaat,68.7098,-52.8699,4.37,93,84,4.9,GL,1635271968
346,charleville-mezieres,49.7667,4.7167,52.99,86,99,5.08,FR,1635271971
347,luhyny,51.082,28.4006,42.3,52,33,10.47,UA,1635271973
348,launceston,-41.45,147.1667,44.15,93,76,8.05,AU,1635271841
349,vao,-22.6667,167.4833,71.69,85,100,13.49,NC,1635271978
350,kaitangata,-46.2817,169.8464,50.94,98,98,2.64,NZ,1635271980
351,batemans bay,-35.7167,150.1833,55.2,93,70,3.91,AU,1635271982
352,san jeronimo,-11.9472,-75.2829,67.32,36,64,10.58,PE,1635271985
353,finnsnes,69.2296,17.9811,30.16,97,100,5.84,NO,1635271987
354,hervey bay,-25.2986,152.8535,74.01,87,7,3.94,AU,1635271989
355,moerai,-22.4333,-151.3333,73.87,73,100,22.24,PF,1635271992
356,zelenoborskiy,66.845,32.3622,31.6,97,100,14.79,RU,1635271994
357,mweka,-4.85,21.5667,75.18,74,100,2.86,CD,1635271996
358,markova,48.6758,24.4138,33.39,62,33,4.45,UA,1635271999
359,nosy varika,-20.5833,48.5333,72.66,82,1,7.7,MG,1635272001
360,anadyr,64.75,177.4833,-6.16,93,100,11.88,RU,1635272004
361,solnechnyy,50.7214,136.6319,37.81,85,66,3.18,RU,1635272006
362,isangel,-19.55,169.2667,74.91,87,3,4.27,VU,1635272009
363,sistranda,63.7256,8.834,47.89,78,87,18.92,NO,1635272011
364,novyy urengoy,66.0833,76.6333,21.79,95,100,11.12,RU,1635272014
365,susaki,33.3667,133.2833,58.69,77,94,4.76,JP,1635272016
366,burnie,-41.0667,145.9167,44.94,87,61,6.04,AU,1635272018
367,souillac,-20.5167,57.5167,74.35,73,17,14.47,MU,1635272021
368,topeka,39.0483,-95.678,57.58,73,90,3.0,US,1635271743
